slot_letter,country,code,base_points,point_delta,points,도시명1,도시명2,도시명3,도시명4,도시명5,도시명6,도시명7,도시명8,도시명9,도시명10
A,일본,JPN,108,0,108,도쿄,오사카,요코하마,고베,나고야,삿포로,후쿠오카,가와사키,사이타마,센다이
B,대한민국,KOR,86,0,86,서울,부산,인천,대구,대전,광주,수원,울산,전주,창원
C,태국,THA,63,0,63,방콕,치앙마이,푸껫,파타야,콘깬,나콘랏차시마,핫야이,우본랏차타니,수랏타니,송클라
D,중국,CHN,55,0,55,상하이,베이징,광저우,선전,청두,우한,톈진,충칭,난징,항저우
E,호주,AUS,40,0,40,시드니,멜버른,브리즈번,퍼스,애들레이드,캔버라,호바트,다윈,골드코스트,뉴캐슬
F,말레이시아,MAS,40,0,40,쿠알라룸푸르,조호르바루,페낭,이포,코타키나발루,쿠칭,말라카,클랑,알로르세타르,쿠알라테렝가누
G,싱가포르,SGP,39,0,39,싱가포르,우드랜즈,탐피니스,주롱,베독,앙모키오,브라델,파시르리스,퐁골,이슌
H,베트남,VIE,38,0,38,하노이,호찌민,다낭,하이퐁,껀터,냐짱,빈,후에,달랏,비엔호아
I,인도네시아,IDN,19,0,19,자카르타,수라바야,반둥,메단,스마랑,마카사르,족자카르타,팔렘방,발릭파판,데폭
J,홍콩,HKG,24,0,24,홍콩,구룡,센트럴,완차이,췬완,사틴,타이포,췬이,츈문,리틀송
K,캄보디아,CAM,20,0,20,프놈펜,시엠립,바탐방,시하누크빌,캄퐁참,캄퐁톰,포이펫,크라티에,캄폿,수아리엡
L,필리핀,PHI,17,0,17,마닐라,세부,다바오,일로일로,바콜로드,바기오,카가얀데오로,제너럴산토스,잠보앙가,타클로반
M,중화 타이베이,TPE,5,0,5,타이베이,가오슝,타이중,타이난,반차오,지룽,신주,자이,펑위안,루강
N,미얀마,MYA,6,0,6,양곤,만달레이,네피도,바고,모울메인,타웅지,파테인,메익,몬와,툰지
O,몽골,MNG,2,0,2,울란바토르,에르데네트,다르항,차강노르,외르헝,바양홍고르,홉드,고비알타이,수흐바타르,도르노드
P,북한,PRK,0,0,0,평양,함흥,남포,원산,신의주,청진,개성,사리원,혜산,라선
Q,라오스,LAO,2,0,2,비엔티안,루앙프라방,팍세,사바나켓,타케크,샤이냐부리,폰사완,무앙사이,세콩,아타푸
R,마카오,MAC,1,0,1,마카오,타이파,콜로안,세나도,산토안토니오,산라자로,프레이르,아레아,나모반,코타이
S,브루나이,BRU,1,0,1,반다르스리브가완,무아라,쿠알라벨라잇,투통,판타이,세리,림방,파고,나가리,토튼
T,동티모르,TLS,0,0,0,딜리,바우카우,말리아나,수아이,베말라,리퀴사,글레노,라우템,오에쿠시,사메
U,괌,GUM,0,0,0,하갓냐,데데도,타무닝,이고,망길라오,바리가다,산타리타,차란파고오르도트,아산마이나,탈로포포
V,북마리아나 제도,NMI,0,0,0,가라판,사이판,치란가,수수페,타포차우,산호세,산로케,하가만,탈라기,이잔
W,팔라우,PLW,0,0,0,코로르,언가르루뮬드,아이라이,메레코크,언가르마우,언가첌롱,언가팝,언기와르,페레리유,암가우르
