slot_letter,country,code,base_points,point_delta,points,도시명1,도시명2,도시명3,도시명4,도시명5,도시명6,도시명7,도시명8,도시명9,도시명10
A,사우디아라비아,KSA,133,0,133,리야드,제다,메카,메디나,담맘,타이프,카심,하사,아브하,하일
B,아랍에미리트,UAE,79,0,79,두바이,아부다비,샤르자,알아인,아지만,푸자이라,라스알카이마,움알쿠와인,칼바,디바
C,이란,IRN,71,0,71,테헤란,마슈하드,이스파한,쉬라즈,타브리즈,카라지,아흐바즈,콤,케르만샤,라슈트
D,카타르,QAT,69,0,69,도하,알라이얀,알와크라,알코르,움살랄,루사일,메사이드,알샤말,알시하니야,두칸
E,우즈베키스탄,UZB,47,0,47,타슈켄트,사마르칸트,부하라,페르가나,안디잔,나망간,누쿠스,지작,카르시,테르메즈
F,이라크,IRQ,42,0,42,바그다드,바스라,모술,에르빌,나자프,키르쿠크,술라이마니야,카르발라,디와니야,나시리야
G,요르단,JOR,43,0,43,암만,자르카,이르비드,아카바,마프라크,마다바,살트,타필라,카라크,루세이파
H,바레인,BHR,30,0,30,마나마,무하라크,리파,이사타운,하마드타운,시트라,압달리,히디,자흐라,잔다나
I,오만,OMA,29,0,29,무스카트,살랄라,소하르,니즈와,수르,이브라,바르카,브레미,케이블,하므라
J,투르크메니스탄,TKM,24,0,24,아시가바트,투르크메나바트,다쇼구즈,마리,발칸아바트,바하르덴,아나우,세르다르,코네우르겐치,테젠
K,쿠웨이트,KUW,21,0,21,쿠웨이트시티,하왈리,파르와니야,아흐마디,주와일,자흐라,무바라크알카비르,사바히야,살미야,파하힐
L,타지키스탄,TJK,16,0,16,두샨베,후잔드,보흐타르,쿨롭,이스타라브샨,펜지켄트,이소라,캉기르트,꼼소몰라바드,노빈
M,인도,IND,25,0,25,뉴델리,뭄바이,벵갈루루,콜카타,첸나이,하이데라바드,푸네,아메다바드,수라트,자이푸르
N,레바논,LBN,13,0,13,베이루트,트리폴리,시돈,타이레,잘레,나바티예,바알베크,안잘라,브루만나,주니에
O,키르기스스탄,KGZ,10,0,10,비슈케크,오시,잘랄아바드,카라콜,토크목,나린,발릭치,바트켄,카라발타,키질키야
P,방글라데시,BGD,8,0,8,다카,치타공,쿨나,라지샤히,실렛,바리살,랑푸르,미멘싱,코밀라,보그라
Q,시리아,SYR,6,0,6,다마스쿠스,알레포,홈스,하마,라타키아,타르투스,데이르에조르,라카,수웨이다,키스와
R,몰디브,MDV,6,0,6,말레,훌후말레,아두,푸바물라,바아톨,라아톨,하알리알톨,샤비야니톨,라비아니톨,다알톨
S,부탄,BHU,1,0,1,팀푸,파로,푸나카,왕두,추카,가사,트롱사,몬가르,르눕체,사마츠
T,팔레스타인,PLE,5,0,5,가자,라말라,나블루스,헤브론,제닌,베들레헴,칼킬리야,툴카름,리파,칼타
U,네팔,NEP,4,0,4,카트만두,포카라,라리트푸르,비라트나가르,비르간지,부트왈,다란,헷다우다,잔악푸르,네팔군즈
V,아프가니스탄,AFG,2,0,2,카불,헤라트,마자르이샤리프,칸다하르,잘랄라바드,쿤두즈,가즈니,파이자바드,라슈카르가,바미안
W,스리랑카,LKA,1,0,1,콜롬보,캔디,갈레,자프나,누와라엘리야,트린코말리,바티칼로아,쿠루네갈라,아누라다푸라,모나라갈라
X,예멘,YEM,0,0,0,사나,아덴,타이즈,호데이다,시브와,마리브,이브,달리아,라흐즈,자프라
Y,파키스탄,PAK,0,0,0,카라치,라호르,이슬라마바드,파이살라바드,라왈핀디,물탄,구즈란왈라,페샤와르,케타,시알코트
