competition,rank,team_id,team_name,played,wins,draws,losses,gf,ga,gd,points
league,1,T04,광주,42,22,5,15,191,172,19,71
league,2,T05,경산,42,22,5,15,200,185,15,71
league,3,T14,제주,42,21,7,14,192,151,41,70
league,4,T08,원주,42,19,10,13,177,169,8,67
league,5,T02,대구,39,18,9,12,187,146,41,63
league,6,T10,춘천,39,18,7,14,167,163,4,61
league,7,T07,창원,39,18,6,15,132,144,-12,60
league,8,T13,수원,39,17,6,16,156,155,1,57
league,9,T03,부산,39,17,5,17,150,146,4,56
league,10,T06,동대문,39,17,5,17,148,165,-17,56
league,11,T01,서산,39,14,6,19,150,159,-9,48
league,12,T12,세종,39,13,6,20,164,200,-36,45
league,13,T11,울산,39,12,2,25,161,183,-22,38
league,14,T09,부천,39,10,3,26,147,184,-37,33
local_cup,1,T12,세종,0,0,0,0,31,0,13,0
local_cup,2,T02,대구,0,0,0,0,59,0,19,0
local_cup,3,T03,부산,0,0,0,0,49,0,11,0
local_cup,4,T10,춘천,0,0,0,0,24,0,-2,0
local_cup,5,T13,수원,0,0,0,0,28,0,9,0
local_cup,6,T06,동대문,0,0,0,0,25,0,9,0
local_cup,7,T09,부천,0,0,0,0,17,0,-1,0
local_cup,8,T08,원주,0,0,0,0,20,0,-15,0
local_cup,9,T05,경산,0,0,0,0,21,0,-2,0
local_cup,10,T01,서산,0,0,0,0,10,0,-6,0
local_cup,11,T11,울산,0,0,0,0,21,0,-8,0
local_cup,12,T04,광주,0,0,0,0,6,0,-8,0
local_cup,13,T07,창원,0,0,0,0,19,0,-9,0
local_cup,14,T14,제주,0,0,0,0,9,0,-10,0
championship,1,T08,원주,0,0,0,0,37,0,17,0
championship,2,T14,제주,0,0,0,0,46,0,19,0
championship,3,T10,춘천,0,0,0,0,24,0,3,0
championship,4,T03,부산,0,0,0,0,24,0,4,0
championship,5,T04,광주,0,0,0,0,17,0,0,0
championship,6,T01,서산,0,0,0,0,16,0,-2,0
championship,7,T09,부천,0,0,0,0,11,0,-6,0
championship,8,T11,울산,0,0,0,0,4,0,-13,0
championship,9,T05,경산,0,0,0,0,2,0,-2,0
championship,10,T06,동대문,0,0,0,0,2,0,-2,0
championship,11,T12,세종,0,0,0,0,1,0,-2,0
championship,12,T13,수원,0,0,0,0,1,0,-5,0
championship,13,T07,창원,0,0,0,0,0,0,-5,0
championship,14,T02,대구,0,0,0,0,5,0,-6,0
super_cup,1,T12,세종,5,5,0,0,37,15,22,22
super_cup,2,T03,부산,5,3,0,2,32,25,7,16
super_cup,3,T04,광주,5,2,0,3,22,30,-8,16
super_cup,4,T07,창원,5,2,0,3,23,24,-1,9
super_cup,5,T11,울산,5,2,0,3,19,25,-6,9
super_cup,6,T14,제주,5,1,0,4,20,34,-14,8
ACL1,1,T03,부산,13,9,2,2,73,41,32,5
ACL1,2,KSA_A_FC2,제다,13,5,5,3,50,50,0,4
ACL1,3,AUS_E_FC2,멜버른,13,6,2,5,55,45,10,3
ACL1,4,KSA_A_FC4,메디나,12,7,1,4,38,31,7,3
ACL1,5,T12,세종,10,4,4,2,81,58,23,2
ACL1,6,UAE_B_FC3,샤르자,10,5,1,4,59,41,18,2
ACL1,7,SGP_F_FC,싱가포르,8,5,1,2,39,29,10,2
ACL1,8,KSA_A_FC,리야드,10,5,1,4,48,39,9,2
ACL1,9,IRN_C_FC,테헤란,8,5,2,1,46,37,9,2
ACL1,10,IRN_C_FC2,마슈하드,8,4,0,4,46,41,5,2
ACL1,11,IRN_C_FC3,이스파한,9,5,0,4,47,43,4,2
ACL1,12,IRQ_G_FC,바그다드,7,4,0,3,26,22,4,2
ACL1,13,JPN_A_FC2,오사카,10,5,2,3,54,58,-4,2
ACL1,14,T11,울산,7,2,2,3,19,25,-6,2
ACL1,15,THA_C_FC,방콕,8,4,1,3,43,30,13,1
ACL1,16,UAE_B_FC2,아부다비,8,4,1,3,28,22,6,1
ACL1,17,THA_C_FC2,치앙마이,8,4,0,4,39,44,-5,1
ACL1,18,T04,광주,8,4,1,3,31,38,-7,1
ACL1,19,JOR_E_FC2,자르카,6,2,0,4,28,25,3,0
ACL1,20,JPN_A_FC4,고베,6,2,1,3,21,21,0,0
ACL1,21,CHN_D_FC2,베이징,6,2,1,3,19,23,-4,0
ACL1,22,JPN_A_FC3,요코하마,6,1,2,3,27,34,-7,0
ACL1,23,JPN_A_FC,도쿄,6,1,1,4,22,29,-7,0
ACL1,24,JOR_F_FC,암만,6,2,0,4,16,23,-7,0
ACL1,25,CHN_D_FC22,광저우,6,2,0,4,27,35,-8,0
ACL1,26,UZB_E_FC,타슈켄트,6,3,0,3,26,34,-8,0
ACL1,27,QAT_D_FC2,알라이얀,6,1,0,5,20,28,-8,0
ACL1,28,QAT_D_FC,도하,6,2,0,4,26,36,-10,0
ACL1,29,KSA_A_FC3,메카,6,2,0,4,19,30,-11,0
ACL1,30,UAE_B_FC,두바이,6,2,1,3,24,39,-15,0
ACL1,31,CHN_D_FC,상하이,6,2,0,4,20,35,-15,0
ACL1,32,AUS_E_FC,시드니,6,2,0,4,16,35,-19,0
ACL2,1,PHI_K_FC2,세부,14,13,0,1,82,44,38,5
ACL2,2,BHR_H_FC,마나마,13,10,1,2,68,40,28,4
ACL2,3,THA_C_FC3,푸껫,12,6,2,4,59,51,8,3
ACL2,4,KSA_A_FC5,담맘,12,5,1,6,55,51,4,3
ACL2,5,UAE_B_FC4,알아인,10,5,1,4,40,37,3,3
ACL2,6,PHI_K_FC,마닐라,10,5,0,5,55,42,13,2
ACL2,7,NEP_S_FC,카트만두,8,5,0,3,37,25,12,2
ACL2,8,HKG_I_FC2,구룡,7,3,2,2,24,16,8,2
ACL2,9,THA_C_FC32,파타야,8,5,0,3,40,36,4,2
ACL2,10,MAS_G_FC2,조호르바루,8,5,0,3,46,44,2,2
ACL2,11,BHR_H_FC2,무하라크,7,3,1,3,25,26,-1,2
ACL2,12,TKM_I_FC2,투르크메나바트,7,4,0,3,29,31,-2,2
ACL2,13,IDN_J_FC,자카르타,10,4,1,5,41,47,-6,2
ACL2,14,SGP_F_FC2,우드랜즈,8,4,1,3,30,38,-8,2
ACL2,15,JOR_F_FC2,이르비드,10,4,0,6,25,33,-8,2
ACL2,16,UZB_E_FC3,부하라,8,5,1,2,27,16,11,1
ACL2,17,OMA_J_FC,무스카트,8,5,2,1,32,23,9,1
ACL2,18,JPN_A_FC5,나고야,8,3,1,4,36,36,0,1
ACL2,19,TKM_I_FC,아시가바트,8,3,2,3,32,40,-8,1
ACL2,20,CHN_D_FC3,선전,6,3,0,3,26,26,0,0
ACL2,21,IRN_C_FC4,쉬라즈,6,3,0,3,23,25,-2,0
ACL2,22,UAE_B_FC5,아지만,6,2,1,3,28,31,-3,0
ACL2,23,THA_C_FC4,콘깬,6,2,0,4,14,17,-3,0
ACL2,24,MAS_G_FC,쿠알라룸푸르,6,2,1,3,20,24,-4,0
ACL2,25,HKG_I_FC,홍콩,6,2,0,4,22,27,-5,0
ACL2,26,IRQ_G_FC2,바스라,6,1,1,4,35,41,-6,0
ACL2,27,VIE_H_FC,하노이,6,1,1,4,18,24,-6,0
ACL2,28,AUS_E_FC3,브리즈번,6,0,1,5,17,28,-11,0
ACL2,29,QAT_D_FC3,알와크라,6,2,0,4,26,38,-12,0
ACL2,30,UZB_E_FC2,사마르칸트,6,0,1,5,9,21,-12,0
ACL2,31,T07,창원,6,2,0,4,22,36,-14,0
ACL2,32,IRQ_G_FC22,모술,6,1,0,5,9,24,-15,0
ACL3,1,VIE_H_FC3,다낭,13,8,1,4,91,60,31,5
ACL3,2,OMA_J_FC2,살랄라,13,7,4,2,57,39,18,4
ACL3,3,BRU_U_FC,반다르스리브가완,10,6,1,3,69,42,27,3
ACL3,4,LBN_N_FC,베이루트,12,6,1,5,53,52,1,3
ACL3,5,IRQ_G_FC3,에르빌,10,7,0,3,46,46,0,3
ACL3,6,TLS_N_FC,딜리,12,5,2,5,42,48,-6,3
ACL3,7,BHR_H_FC3,리파,8,5,1,2,55,30,25,2
ACL3,8,MAC_P_FC,마카오,8,6,0,2,51,29,22,2
ACL3,9,CAM_L_FC,프놈펜,8,6,0,2,43,24,19,2
ACL3,10,IDN_J_FC2,수라바야,10,5,1,4,52,38,14,2
ACL3,11,AFG_P_FC,카불,10,6,0,4,38,29,9,2
ACL3,12,LAO_O_FC,비엔티안,8,6,0,2,42,37,5,2
